project-01	https://jgrarchitects.com/wp-content/uploads/2025/08/Carter-Lake-STRUCT-Permit-Set-8-1-2025.pdf	plan=1	elevation=15
project-02	https://resources.finalsite.net/images/v1702662401/tulsaschoolsorg/gnzaaar02cqliciw6qti/Addendum1_11.pdf	plan=3	elevation=1
project-03	https://www.primedmosaiccentre.com/wp-content/uploads/2016/03/2014-03-14_Mosaic_IFC_Foundations.pdf	plan=1	elevation=1
project-04	https://purchasing.uky.edu/sites/default/files/2021-09/cck-2568-22add4.pdf	plan=15	elevation=27
project-05	https://abcksmo.org/wp-content/uploads/2019/09/CP180131-WCH-Exterior-Envelope-Specs.pdf	plan=2	elevation=31
project-06	https://www.surrey.ca/sites/default/files/media/tender_docs/221028_CBRCE_Phase_2_-_Issued_for_Review_-_Structural.pdf	plan=1	elevation=4
project-07	https://mjdixon.ca/wp-content/uploads/2023/07/PRS-32-Structural-Drawings-IFC.pdf	plan=1	elevation=8
project-08	https://assets.habitat.ca/southeast-bc/images/C21001-022-Habitat-for-Humanity-Fourplex-New-Concept-For-Building-Permit-Feb-22ND-2022-Copy.pdf	plan=1	elevation=4
project-09	https://lumber-one.com/wp-content/uploads/2024/09/Structural-Plan-Set-8.23.24.pdf	plan=3	elevation=3
project-10	https://legacy.winnipeg.ca/finance/findata/matmgt/documents/2013/748-2013/748-2013_Bid_Opportunity.pdf	plan=12	elevation=34
project-11	https://www.biglakemn.org/AgendaCenter/ViewFile/Agenda/_02182026-1219	plan=25	elevation=13
project-12	https://ggcontracting.ca/wp-content/uploads/2024/04/2-Drawings-5.pdf	plan=15	elevation=1
project-13	https://dmdmaps.cabq.gov/Construction_Drawings/588102.pdf	plan=1	elevation=1
project-14	https://cityofdawson.ca/Home/DownloadMeeting/5845cbcc-1500-4045-859b-000d97200f28?isEnglish=True	plan=40	elevation=40
project-15	https://ddc-teslin.com/wp-content/uploads/2024/12/Structural-Drawings-250131.pdf	plan=1	elevation=1
project-16	https://permits.kirklandwa.gov/WebDocs/2018060177/c6288449-587a-445a-97b7-7249e80c06ba.pdf	plan=7	elevation=20
project-17	https://www.hgtc.edu/documents/procurement/h59-n269-cb-drawings.pdf	plan=1	elevation=1
project-18	https://legacy.winnipeg.ca/finance/findata/matmgt/documents/2007/832-2007/832-2007_Bid_Opportunity.pdf	plan=31	elevation=30
